,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation
43,Albania,1992.0,female,55-74 years,1.0,164900.0,0.61,"709,452,584",251.0,Silent
44,Albania,1992.0,female,5-14 years,0.0,336700.0,0.0,"709,452,584",251.0,Millenials
45,Albania,1992.0,female,75+ years,0.0,38700.0,0.0,"709,452,584",251.0,G.I. Generation
46,Albania,1992.0,male,5-14 years,0.0,362900.0,0.0,"709,452,584",251.0,Millenials
47,Albania,1992.0,male,75+ years,0.0,23900.0,0.0,"709,452,584",251.0,G.I. Generation
48,Albania,1993.0,male,15-24 years,18.0,243300.0,7.4,"1,228,071,038",437.0,Generation X
49,Albania,1993.0,male,55-74 years,7.0,165000.0,4.24,"1,228,071,038",437.0,Silent
50,Albania,1993.0,male,75+ years,1.0,24200.0,4.13,"1,228,071,038",437.0,G.I. Generation
51,Albania,1993.0,male,25-34 years,9.0,230100.0,3.91,,437.0,Boomers
52,Albania,1993.0,female,15-24 years,10.0,285300.0,3.51,"1,228,071,038",437.0,Generation X
53,Albania,1993.0,male,35-54 years,10.0,350300.0,2.85,"1,228,071,038",437.0,Boomers
54,Albania,1993.0,female,25-34 years,7.0,261800.0,2.67,"1,228,071,038",437.0,Boomers
55,Albania,1993.0,female,35-54 years,7.0,331200.0,2.11,"1,228,071,038",437.0,Boomers
56,Albania,1993.0,female,55-74 years,2.0,169500.0,1.18,"1,228,071,038",437.0,Silent
57,Albania,1993.0,female,5-14 years,1.0,340300.0,,"1,228,071,038",437.0,Millenials
58,Albania,1993.0,male,5-14 years,1.0,367000.0,0.27,"1,228,071,038",437.0,Millenials
59,Albania,1993.0,female,75+ years,0.0,,0.0,"1,228,071,038",437.0,G.I. Generation
60,Albania,1994.0,male,75+ years,2.0,24600.0,8.13,"1,985,673,798",697.0,G.I. Generation
61,Albania,1994.0,male,55-74 years,11.0,171400.0,6.42,"1,985,673,798",697.0,Silent
62,Albania,1994.0,female,75+ years,2.0,39900.0,5.01,"1,985,673,798",697.0,G.I. Generation
63,Albania,1994.0,male,25-34 years,6.0,231400.0,,"1,985,673,798",697.0,Boomers
64,Albania,1994.0,male,35-54 years,9.0,362800.0,2.48,"1,985,673,798",697.0,Boomers
65,Albania,1994.0,male,15-24 years,6.0,242200.0,2.48,"1,985,673,798",697.0,Generation X
66,Albania,1994.0,female,15-24 years,6.0,282600.0,2.12,"1,985,673,798",697.0,Generation X
67,Albania,1994.0,female,25-34 years,4.0,261100.0,1.53,"1,985,673,798",697.0,Boomers
68,Albania,1994.0,female,35-54 years,2.0,342500.0,0.58,"1,985,673,798",697.0,Boomers
69,Albania,1994.0,female,55-74 years,1.0,174600.0,0.57,"1,985,673,798",697.0,Silent
70,Albania,1994.0,,5-14 years,1.0,371800.0,0.27,"1,985,673,798",697.0,Millenials
71,Albania,1994.0,female,5-14 years,0.0,344400.0,0.0,"1,985,673,798",697.0,Millenials
72,Albania,1995.0,male,25-34 years,13.0,232900.0,5.58,"2,424,499,009",835.0,Generation X
73,Albania,1995.0,male,55-74 years,9.0,178000.0,5.06,"2,424,499,009",835.0,Silent
74,Albania,1995.0,female,75+ years,2.0,40800.0,4.9,"2,424,499,009",835.0,G.I. Generation
75,Albania,1995.0,female,15-24 years,13.0,283500.0,4.59,"2,424,499,009",835.0,Generation X
76,Albania,1995.0,male,15-24 years,11.0,241200.0,4.56,"2,424,499,009",835.0,Generation X
77,Albania,1995.0,male,75+ years,1.0,25100.0,3.98,"2,424,499,009",835.0,G.I. Generation
78,Albania,1995.0,male,35-54 years,14.0,375900.0,3.72,"2,424,499,009",835.0,Boomers
79,Albania,1995.0,female,,7.0,264000.0,2.65,,835.0,Generation X
80,Albania,1995.0,female,35-54 years,8.0,356400.0,2.24,"2,424,499,009",835.0,Boomers
81,Albania,1995.0,male,5-14 years,6.0,376500.0,1.59,"2,424,499,009",835.0,
82,Albania,1995.0,female,55-74 years,2.0,180400.0,1.11,"2,424,499,009",835.0,Silent
83,Albania,1995.0,female,5-14 years,2.0,348700.0,0.57,"2,424,499,009",835.0,Millenials
84,Albania,1996.0,male,75+ years,2.0,25400.0,7.87,"3,314,898,292",1127.0,G.I. Generation
85,Albania,1996.0,,15-24 years,17.0,243600.0,6.98,"3,314,898,292",1127.0,Generation X
86,Albania,1996.0,male,25-34 years,14.0,235300.0,5.95,"3,314,898,292",1127.0,
87,Albania,1996.0,female,15-24 years,16.0,287700.0,5.56,"3,314,898,292",1127.0,Generation X
88,Albania,1996.0,female,75+ years,2.0,41200.0,4.85,"3,314,898,292",,G.I. Generation
89,Albania,1996.0,female,25-34 years,10.0,267900.0,3.73,"3,314,898,292",1127.0,Generation X
90,Albania,1996.0,male,35-54 years,12.0,379600.0,3.16,"3,314,898,292",1127.0,Boomers
91,Albania,1996.0,female,35-54 years,9.0,362000.0,2.49,"3,314,898,292",,Boomers
92,Albania,1996.0,male,55-74 years,3.0,179900.0,1.67,"3,314,898,292",1127.0,Silent
93,Albania,1996.0,female,55-74 years,1.0,183100.0,0.55,"3,314,898,292",1127.0,Silent
94,Albania,1996.0,male,5-14 years,2.0,380400.0,0.53,"3,314,898,292",1127.0,Millenials
95,Albania,1996.0,female,5-14 years,1.0,354100.0,0.28,"3,314,898,292",1127.0,Millenials
96,Albania,1997.0,male,25-34 years,36.0,236000.0,15.25,"2,359,903,108",793.0,Generation X
97,Albania,1997.0,male,15-24 years,33.0,244400.0,13.5,"2,359,903,108",793.0,Generation X
98,Albania,1997.0,male,75+ years,3.0,25400.0,11.81,"2,359,903,108",793.0,G.I. Generation
99,Albania,1997.0,male,35-54 years,30.0,380800.0,7.88,"2,359,903,108",793.0,Boomers
100,Albania,1997.0,female,15-24 years,21.0,294000.0,7.14,"2,359,903,108",793.0,Generation X
101,Albania,1997.0,male,55-74 years,12.0,180300.0,6.66,"2,359,903,108",793.0,Silent
102,Albania,1997.0,female,25-34 years,16.0,273900.0,5.84,"2,359,903,108",793.0,Generation X
103,Albania,1997.0,female,75+ years,2.0,42100.0,4.75,"2,359,903,108",793.0,G.I. Generation
104,Albania,1997.0,female,35-54 years,7.0,370100.0,1.89,"2,359,903,108",793.0,Boomers
105,Albania,1997.0,female,5-14 years,6.0,361800.0,1.66,"2,359,903,108",793.0,Millenials
106,Albania,1997.0,male,5-14 years,4.0,381500.0,1.05,"2,359,903,108",793.0,Millenials
107,Albania,1997.0,female,55-74 years,0.0,187000.0,0.0,"2,359,903,108",793.0,Silent
108,Albania,1998.0,male,75+ years,3.0,25800.0,11.63,"2,707,123,772",899.0,G.I. Generation
109,Albania,1998.0,male,15-24 years,27.0,248800.0,10.85,"2,707,123,772",899.0,Generation X
110,Albania,1998.0,female,15-24 years,32.0,295600.0,10.83,"2,707,123,772",899.0,Generation X
111,Albania,1998.0,male,25-34 years,26.0,240400.0,10.82,"2,707,123,772",899.0,Generation X
112,Albania,1998.0,male,35-54 years,29.0,388200.0,7.47,"2,707,123,772",899.0,Boomers
113,Albania,1998.0,male,55-74 years,9.0,183800.0,4.9,"2,707,123,772",899.0,Silent
114,Albania,1998.0,female,25-34 years,10.0,275300.0,3.63,"2,707,123,772",899.0,Generation X
115,Albania,1998.0,female,55-74 years,6.0,188200.0,3.19,"2,707,123,772",899.0,Silent
116,Albania,1998.0,female,35-54 years,9.0,372100.0,2.42,"2,707,123,772",899.0,Boomers
117,Albania,1998.0,male,5-14 years,2.0,388400.0,0.51,"2,707,123,772",899.0,Millenials
118,Albania,1998.0,female,5-14 years,1.0,363800.0,0.27,"2,707,123,772",899.0,
119,Albania,1998.0,female,75+ years,0.0,42300.0,0.0,"2,707,123,772",899.0,G.I. Generation
120,Albania,1999.0,male,75+ years,3.0,25900.0,11.58,"3,414,760,915",1127.0,G.I. Generation
121,Albania,1999.0,male,15-24 years,24.0,250600.0,9.58,"3,414,760,915",1127.0,Generation X
122,Albania,1999.0,female,75+ years,4.0,42400.0,9.43,"3,414,760,915",1127.0,G.I. Generation
123,Albania,1999.0,male,,31.0,391100.0,7.93,"3,414,760,915",1127.0,Boomers
124,Albania,1999.0,male,25-34 years,19.0,242300.0,7.84,"3,414,760,915",1127.0,Generation X
125,Albania,1999.0,male,55-74 years,14.0,185200.0,7.56,"3,414,760,915",1127.0,Silent
126,Albania,1999.0,female,15-24 years,19.0,296800.0,6.4,"3,414,760,915",1127.0,Generation X
127,Albania,1999.0,female,25-34 years,13.0,276500.0,4.7,"3,414,760,915",1127.0,Generation X
128,Albania,1999.0,female,55-74 years,6.0,188800.0,3.18,"3,414,760,915",1127.0,Silent
129,Albania,1999.0,female,35-54 years,5.0,373600.0,1.34,"3,414,760,915",1127.0,Boomers
130,Albania,1999.0,female,5-14 years,1.0,365200.0,0.27,"3,414,760,915",1127.0,Millenials
131,Albania,1999.0,male,5-14 years,0.0,391300.0,0.0,"3,414,760,915",1127.0,Millenials
132,Albania,2000.0,male,25-34 years,17.0,232000.0,7.33,"3,632,043,908",1299.0,Generation X
133,Albania,2000.0,male,55-74 years,10.0,177400.0,5.64,"3,632,043,908",1299.0,Silent
134,Albania,2000.0,female,75+ years,2.0,37800.0,5.29,"3,632,043,908",1299.0,G.I. Generation
135,Albania,2000.0,male,75+ years,1.0,24900.0,4.02,"3,632,043,908",1299.0,G.I. Generation
136,Albania,2000.0,female,15-24 years,6.0,263900.0,2.27,"3,632,043,908",1299.0,Generation X
137,Albania,2000.0,male,15-24 years,5.0,240000.0,2.08,"3,632,043,908",1299.0,Generation X
138,Albania,2000.0,female,35-54 years,5.0,332200.0,1.51,"3,632,043,908",1299.0,Boomers
139,Albania,2000.0,female,25-34 years,3.0,,1.22,"3,632,043,908",1299.0,Generation X
140,Albania,2000.0,male,35-54 years,4.0,374700.0,1.07,"3,632,043,908",1299.0,Boomers
141,Albania,2000.0,male,5-14 years,1.0,374900.0,0.27,"3,632,043,908",1299.0,Millenials
142,Albania,2000.0,female,5-14 years,0.0,324700.0,0.0,"3,632,043,908",1299.0,Millenials
143,Albania,2000.0,female,55-74 years,0.0,168000.0,0.0,"3,632,043,908",1299.0,Silent
144,Albania,2001.0,male,25-34 years,22.0,206484.0,10.65,"4,060,758,804",1451.0,Generation X
145,Albania,2001.0,male,35-54 years,34.0,378826.0,8.98,"4,060,758,804",1451.0,Boomers
146,Albania,2001.0,male,55-74 years,11.0,196670.0,5.59,,1451.0,Silent
147,Albania,2001.0,female,75+ years,2.0,47254.0,4.23,"4,060,758,804",1451.0,Silent
148,Albania,2001.0,male,15-24 years,10.0,256039.0,3.91,"4,060,758,804",1451.0,Millenials
149,Albania,2001.0,female,15-24 years,9.0,271359.0,3.32,"4,060,758,804",1451.0,Millenials
150,Albania,2001.0,female,35-54 years,12.0,370191.0,3.24,"4,060,758,804",1451.0,Boomers
151,Albania,2001.0,male,75+ years,1.0,31044.0,3.22,"4,060,758,804",1451.0,Silent
152,Albania,2001.0,female,55-74 years,6.0,189799.0,3.16,"4,060,758,804",1451.0,Silent
153,Albania,2001.0,male,,6.0,321556.0,1.87,"4,060,758,804",1451.0,Millenials
154,Albania,2001.0,female,25-34 years,4.0,222771.0,1.8,"4,060,758,804",1451.0,Generation X
155,Albania,2001.0,female,5-14 years,2.0,307356.0,0.65,"4,060,758,804",1451.0,Millenials
156,Albania,2002.0,male,75+ years,4.0,31007.0,12.9,"4,435,078,648",1573.0,Silent
157,Albania,2002.0,male,25-34 years,23.0,206286.0,11.15,"4,435,078,648",1573.0,Generation X
158,Albania,2002.0,male,35-54 years,35.0,382139.0,9.16,"4,435,078,648",1573.0,Boomers
159,Albania,2002.0,male,55-74 years,13.0,198130.0,6.56,"4,435,078,648",1573.0,Silent
160,Albania,2002.0,male,15-24 years,15.0,263067.0,5.7,"4,435,078,648",1573.0,Millenials
161,Albania,2002.0,female,15-24 years,14.0,275970.0,5.07,"4,435,078,648",1573.0,Millenials
162,Albania,2002.0,female,35-54 years,15.0,375113.0,4.0,"4,435,078,648",1573.0,Boomers
163,Albania,2002.0,female,25-34 years,7.0,223685.0,3.13,"4,435,078,648",1573.0,Generation X
164,Albania,2002.0,female,75+ years,1.0,47407.0,2.11,"4,435,078,648",1573.0,Silent
165,Albania,2002.0,female,55-74 years,4.0,191712.0,2.09,"4,435,078,648",1573.0,Silent
166,Albania,2002.0,female,5-14 years,1.0,304850.0,0.33,"4,435,078,648",,Millenials
167,Albania,2002.0,,5-14 years,1.0,319473.0,0.31,"4,435,078,648",1573.0,Millenials
168,Albania,2003.0,female,75+ years,6.0,49088.0,12.22,"5,746,945,913",2021.0,Silent
169,Albania,2003.0,male,55-74 years,16.0,201520.0,7.94,"5,746,945,913",2021.0,Silent
170,Albania,2003.0,male,35-54 years,28.0,386196.0,7.25,"5,746,945,913",2021.0,Boomers
171,Albania,2003.0,male,15-24 years,15.0,273235.0,5.49,"5,746,945,913",2021.0,Millenials
172,Albania,2003.0,female,15-24 years,14.0,283709.0,4.93,"5,746,945,913",2021.0,Millenials
173,Albania,2003.0,female,55-74 years,9.0,195699.0,4.6,"5,746,945,913",2021.0,Silent
174,Albania,2003.0,male,25-34 years,9.0,205433.0,4.38,"5,746,945,913",2021.0,Generation X
175,Albania,2003.0,female,25-34 years,9.0,222941.0,4.04,"5,746,945,913",2021.0,Generation X
176,Albania,2003.0,female,35-54 years,13.0,381760.0,3.41,"5,746,945,913",2021.0,Boomers
177,Albania,2003.0,male,75+ years,1.0,32667.0,3.06,"5,746,945,913",2021.0,Silent
178,Albania,2003.0,male,5-14 years,4.0,313204.0,1.28,"5,746,945,913",2021.0,Millenials
179,Albania,2003.0,female,5-14 years,0.0,298477.0,0.0,"5,746,945,913",,Millenials
180,Albania,2004.0,male,75+ years,4.0,35526.0,11.26,"7,314,865,176",2544.0,Silent
181,Albania,2004.0,male,35-54 years,39.0,391767.0,9.95,"7,314,865,176",2544.0,Boomers
182,Albania,2004.0,male,25-34 years,16.0,203938.0,7.85,"7,314,865,176",2544.0,Generation X
183,Albania,2004.0,female,15-24 years,20.0,292268.0,6.84,"7,314,865,176",2544.0,Millenials
184,Albania,2004.0,male,15-24 years,19.0,286768.0,6.63,"7,314,865,176",2544.0,Millenials
185,Albania,2004.0,female,75+ years,3.0,50970.0,5.89,"7,314,865,176",2544.0,Silent
186,Albania,2004.0,female,25-34 years,11.0,222389.0,4.95,"7,314,865,176",2544.0,Generation X
187,Albania,2004.0,male,55-74 years,10.0,207202.0,4.83,"7,314,865,176",2544.0,Silent
188,Albania,2004.0,female,35-54 years,17.0,391436.0,4.34,"7,314,865,176",2544.0,Boomers
189,Albania,2004.0,female,55-74 years,3.0,203841.0,1.47,"7,314,865,176",2544.0,Silent
190,Albania,2004.0,female,5-14 years,3.0,286705.0,1.05,"7,314,865,176",2544.0,Millenials
191,Albania,2004.0,male,5-14 years,1.0,302181.0,0.33,"7,314,865,176",2544.0,Millenials
192,Albania,2005.0,female,15-24 years,0.0,281922.0,0.0,"8,158,548,717",2931.0,Millenials
193,Albania,2005.0,female,25-34 years,0.0,190745.0,0.0,"8,158,548,717",2931.0,Generation X
194,Albania,2005.0,female,35-54 years,0.0,386513.0,0.0,"8,158,548,717",2931.0,Boomers
195,Albania,2005.0,female,5-14 years,0.0,276559.0,0.0,"8,158,548,717",2931.0,Millenials
196,Albania,2005.0,female,55-74 years,0.0,210998.0,0.0,"8,158,548,717",2931.0,Silent
197,Albania,2005.0,,75+ years,0.0,53191.0,0.0,"8,158,548,717",2931.0,Silent
198,Albania,2005.0,male,15-24 years,0.0,281675.0,0.0,,2931.0,Millenials
199,Albania,2005.0,male,,0.0,177519.0,0.0,"8,158,548,717",2931.0,Generation X
200,Albania,2005.0,male,35-54 years,0.0,380242.0,0.0,"8,158,548,717",2931.0,Boomers
201,Albania,2005.0,male,5-14 years,0.0,291367.0,0.0,"8,158,548,717",2931.0,Millenials
202,Albania,2005.0,male,55-74 years,0.0,214118.0,0.0,"8,158,548,717",2931.0,Silent
203,Albania,2005.0,male,75+ years,0.0,38471.0,0.0,"8,158,548,717",2931.0,Silent
204,Albania,2006.0,female,15-24 years,0.0,283138.0,0.0,"8,992,642,349",3235.0,Millenials
205,Albania,2006.0,,25-34 years,0.0,186391.0,0.0,"8,992,642,349",3235.0,Generation X
206,Albania,2006.0,female,35-54 years,0.0,388746.0,0.0,"8,992,642,349",3235.0,Boomers
207,Albania,2006.0,female,5-14 years,0.0,267316.0,0.0,"8,992,642,349",3235.0,Millenials
208,Albania,2006.0,female,55-74 years,0.0,215907.0,0.0,"8,992,642,349",3235.0,Silent
209,Albania,2006.0,female,75+ years,0.0,56011.0,0.0,"8,992,642,349",3235.0,Silent
210,Albania,2006.0,male,15-24 years,0.0,286679.0,0.0,"8,992,642,349",,Millenials
211,Albania,2006.0,male,25-34 years,0.0,174092.0,0.0,"8,992,642,349",3235.0,Generation X
212,Albania,2006.0,male,35-54 years,0.0,379076.0,0.0,"8,992,642,349",3235.0,Boomers
213,Albania,2006.0,male,5-14 years,0.0,282678.0,0.0,"8,992,642,349",3235.0,Millenials
214,Albania,2006.0,male,55-74 years,0.0,219360.0,0.0,"8,992,642,349",3235.0,Silent
215,Albania,2006.0,male,75+ years,0.0,40782.0,0.0,"8,992,642,349",3235.0,Silent
216,Albania,2007.0,male,75+ years,8.0,42366.0,18.88,"10,701,011,897",3863.0,Silent
217,Albania,2007.0,male,35-54 years,29.0,378626.0,7.66,"10,701,011,897",3863.0,Boomers
218,Albania,2007.0,male,55-74 years,14.0,224160.0,6.25,"10,701,011,897",3863.0,Silent
219,Albania,,female,75+ years,3.0,57404.0,5.23,"10,701,011,897",3863.0,Silent
220,Albania,2007.0,male,25-34 years,9.0,172494.0,5.22,"10,701,011,897",3863.0,Generation X
221,Albania,2007.0,female,15-24 years,13.0,281080.0,4.63,"10,701,011,897",3863.0,Millenials
222,Albania,2007.0,male,15-24 years,13.0,288349.0,4.51,"10,701,011,897",3863.0,Millenials
223,Albania,2007.0,female,25-34 years,8.0,183629.0,4.36,"10,701,011,897",3863.0,Generation X
224,Albania,2007.0,female,55-74 years,9.0,221120.0,4.07,"10,701,011,897",3863.0,Silent
225,Albania,2007.0,female,35-54 years,14.0,,3.57,"10,701,011,897",3863.0,Boomers
226,Albania,2007.0,male,5-14 years,4.0,272497.0,1.47,"10,701,011,897",3863.0,Generation Z
227,Albania,2007.0,female,5-14 years,0.0,256808.0,0.0,"10,701,011,897",3863.0,Generation Z
228,Albania,2008.0,male,25-34 years,21.0,172855.0,12.15,"12,881,352,688",4672.0,Generation X
229,Albania,2008.0,male,35-54 years,37.0,377119.0,9.81,"12,881,352,688",4672.0,Boomers
230,Albania,2008.0,male,55-74 years,21.0,228672.0,9.18,"12,881,352,688",4672.0,Silent
231,Albania,2008.0,female,75+ years,5.0,59369.0,8.42,"12,881,352,688",4672.0,Silent
232,Albania,2008.0,female,15-24 years,20.0,276073.0,7.24,"12,881,352,688",4672.0,Millenials
233,Albania,2008.0,female,25-34 years,9.0,182663.0,4.93,"12,881,352,688",4672.0,Generation X
234,Albania,2008.0,female,35-54 years,19.0,393832.0,4.82,"12,881,352,688",4672.0,Boomers
235,Albania,2008.0,male,,2.0,44574.0,4.49,"12,881,352,688",4672.0,Silent
236,Albania,2008.0,male,15-24 years,11.0,286702.0,3.84,"12,881,352,688",4672.0,Millenials
237,Albania,2008.0,female,55-74 years,7.0,226448.0,3.09,"12,881,352,688",4672.0,Silent
238,Albania,2008.0,male,5-14 years,7.0,262464.0,2.67,"12,881,352,688",4672.0,Generation Z
239,Albania,2008.0,female,5-14 years,1.0,246288.0,0.41,"12,881,352,688",4672.0,Generation Z
240,Albania,2009.0,female,15-24 years,0.0,270003.0,0.0,"12,044,212,904",4387.0,Millenials
241,Albania,2009.0,female,25-34 years,0.0,182712.0,0.0,"12,044,212,904",4387.0,Generation X
242,Albania,2009.0,female,35-54 years,0.0,394286.0,0.0,"12,044,212,904",4387.0,Boomers
243,Albania,2009.0,female,5-14 years,0.0,236174.0,0.0,"12,044,212,904",4387.0,Generation Z
244,Albania,2009.0,female,55-74 years,0.0,233302.0,0.0,"12,044,212,904",4387.0,Silent
245,Albania,2009.0,female,75+ years,0.0,61582.0,0.0,"12,044,212,904",4387.0,Silent
246,Albania,2009.0,male,15-24 years,0.0,283448.0,0.0,"12,044,212,904",4387.0,Millenials
247,Albania,2009.0,male,25-34 years,0.0,174955.0,0.0,"12,044,212,904",4387.0,Generation X
248,Albania,2009.0,male,35-54 years,0.0,374365.0,0.0,"12,044,212,904",4387.0,Boomers
249,Albania,2009.0,male,5-14 years,0.0,253007.0,0.0,"12,044,212,904",4387.0,Generation Z
250,Albania,2009.0,male,55-74 years,0.0,234570.0,0.0,"12,044,212,904",4387.0,Silent
251,Albania,2009.0,,75+ years,0.0,47331.0,0.0,"12,044,212,904",4387.0,Silent
252,Albania,2010.0,male,55-74 years,20.0,241852.0,8.27,"11,926,953,259",4359.0,Silent
253,Albania,2010.0,male,35-54 years,20.0,371611.0,5.38,"11,926,953,259",4359.0,Generation X
254,Albania,2010.0,male,25-34 years,9.0,179720.0,5.01,"11,926,953,259",4359.0,Generation X
255,Albania,2010.0,male,75+ years,2.0,50767.0,3.94,"11,926,953,259",4359.0,Silent
256,Albania,2010.0,male,15-24 years,10.0,279508.0,3.58,"11,926,953,259",4359.0,Millenials
257,Albania,2010.0,female,25-34 years,6.0,183579.0,3.27,"11,926,953,259",4359.0,Generation X
258,Albania,2010.0,female,75+ years,2.0,64415.0,3.1,"11,926,953,259",4359.0,Silent
259,Albania,2010.0,female,35-54 years,12.0,394593.0,3.04,"11,926,953,259",4359.0,Generation X
260,Albania,2010.0,female,55-74 years,7.0,241491.0,2.9,"11,926,953,259",4359.0,Silent
261,Albania,2010.0,female,15-24 years,6.0,263581.0,2.28,"11,926,953,259",4359.0,
262,Albania,2010.0,female,5-14 years,2.0,223969.0,0.89,"11,926,953,259",4359.0,Generation Z
263,Albania,2010.0,male,5-14 years,0.0,240939.0,0.0,"11,926,953,259",4359.0,Generation Z
264,Antigua and Barbuda,1985.0,female,15-24 years,0.0,7709.0,0.0,"240,923,926",3850.0,Generation X
265,Antigua and Barbuda,1985.0,female,25-34 years,0.0,6344.0,0.0,"240,923,926",3850.0,Boomers
266,Antigua and Barbuda,1985.0,female,35-54 years,0.0,6173.0,0.0,"240,923,926",3850.0,Silent
267,Antigua and Barbuda,1985.0,female,5-14 years,0.0,7339.0,0.0,"240,923,926",3850.0,Generation X
268,Antigua and Barbuda,1985.0,female,55-74 years,0.0,3778.0,0.0,"240,923,926",3850.0,G.I. Generation
269,Antigua and Barbuda,1985.0,female,75+ years,0.0,949.0,0.0,"240,923,926",3850.0,G.I. Generation
270,Antigua and Barbuda,1985.0,male,15-24 years,0.0,7667.0,0.0,"240,923,926",3850.0,Generation X
271,Antigua and Barbuda,1985.0,male,25-34 years,0.0,6194.0,0.0,"240,923,926",3850.0,Boomers
272,Antigua and Barbuda,1985.0,male,35-54 years,0.0,5970.0,0.0,"240,923,926",3850.0,Silent
273,Antigua and Barbuda,1985.0,male,5-14 years,0.0,7304.0,0.0,"240,923,926",3850.0,Generation X
274,Antigua and Barbuda,1985.0,male,55-74 years,0.0,2723.0,0.0,"240,923,926",3850.0,G.I. Generation
275,Antigua and Barbuda,1985.0,male,75+ years,0.0,424.0,0.0,"240,923,926",3850.0,G.I. Generation
